caller_service,callee_service,interval,count
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-travel-service-64469b5b48-5rjvb,2,1
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,2,1
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,2,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,2,5
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,2,5
ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,2,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-food-service-f5756978c-6sb8t,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-order-service-5b67c48447-fj8b7,2,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,2,4
ts-preserve-service-b5ccf8557-l5l4p,ts-food-service-f5756978c-6sb8t,2,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,2,4
ts-preserve-service-b5ccf8557-l5l4p,ts-security-service-cb9788d56-bdkcx,2,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-basic-service-5dc8d4f9fd-llznp,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-seat-service-5c95b49cff-mxdsg,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-assurance-service-69876c9868-wqgrl,2,1
ts-preserve-service-b5ccf8557-l5l4p,ts-contacts-service-866bd68c97-dzqgd,2,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,5,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,5,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,5,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,5,2
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,5,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,5,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,5,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,5,2
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,5,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-execute-service-775f544d9-tmwcv,8,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,8,2
ts-execute-service-775f544d9-tmwcv,ts-order-service-5b67c48447-fj8b7,8,1
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,8,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,8,2
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,8,2
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,8,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,8,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,8,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,8,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,8,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,8,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,9,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,9,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,9,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,9,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,9,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,10,6
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,10,2
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,10,6
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,10,1
ts-execute-service-775f544d9-tmwcv,ts-order-service-5b67c48447-fj8b7,10,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,10,6
ts-gateway-service-6f6cfc45b-d9pnv,ts-execute-service-775f544d9-tmwcv,10,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,11,2
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,11,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,11,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-inside-payment-service-6f94c49ccd-t4k6c,11,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,11,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,11,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,11,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,11,1
ts-inside-payment-service-6f94c49ccd-t4k6c,ts-order-service-5b67c48447-fj8b7,11,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,11,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,11,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,12,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,12,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,12,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,12,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,12,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,12,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,12,6
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,12,6
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,12,6
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,13,6
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,13,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,13,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,13,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,13,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,13,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,13,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,13,6
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,13,6
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,15,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,15,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,15,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,15,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,15,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,15,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,15,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,15,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,16,6
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,16,5
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,16,5
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,17,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,17,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,17,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,17,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,18,5
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,18,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,18,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,18,4
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,18,2
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,18,3
ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,18,1
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,18,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,18,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,18,3
ts-inside-payment-service-6f94c49ccd-t4k6c,ts-payment-service-7fc6f5476f-pqwgt,18,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,18,4
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,18,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,18,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-inside-payment-service-6f94c49ccd-t4k6c,18,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,18,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,18,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,18,4
ts-inside-payment-service-6f94c49ccd-t4k6c,ts-order-service-5b67c48447-fj8b7,18,2
ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,18,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,18,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,20,1
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,20,1
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,20,2
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,20,4
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,20,1
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,20,1
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,20,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,20,3
ts-preserve-other-service-66646bdb5b-l8hp6,ts-food-service-f5756978c-6sb8t,20,1
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,20,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,20,3
ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,20,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,20,4
ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,20,1
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,20,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,20,2
ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,20,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,20,3
ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,20,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,20,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,20,5
ts-cancel-service-756f6c4675-prw5z,ts-order-service-5b67c48447-fj8b7,20,2
ts-cancel-service-756f6c4675-prw5z,ts-user-service-687d654649-f8jtd,20,1
ts-cancel-service-756f6c4675-prw5z,ts-inside-payment-service-6f94c49ccd-t4k6c,20,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,20,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,20,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-cancel-service-756f6c4675-prw5z,20,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,20,5
ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,20,1
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,20,1
ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,21,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-auth-service-7f8d7d756d-kzp47,21,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,24,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,24,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,24,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,24,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,24,1
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,24,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,24,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-service-b5ccf8557-l5l4p,24,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,24,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,24,2
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,24,2
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,24,1
ts-preserve-service-b5ccf8557-l5l4p,ts-security-service-cb9788d56-bdkcx,24,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-inside-payment-service-6f94c49ccd-t4k6c,25,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,25,2
ts-preserve-service-b5ccf8557-l5l4p,ts-contacts-service-866bd68c97-dzqgd,25,1
ts-preserve-service-b5ccf8557-l5l4p,ts-order-service-5b67c48447-fj8b7,25,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,25,2
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,25,2
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,25,4
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,25,3
ts-preserve-service-b5ccf8557-l5l4p,ts-seat-service-5c95b49cff-mxdsg,25,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,25,2
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,25,2
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,25,1
ts-preserve-service-b5ccf8557-l5l4p,ts-travel-service-64469b5b48-5rjvb,25,1
ts-preserve-service-b5ccf8557-l5l4p,ts-basic-service-5dc8d4f9fd-llznp,25,1
ts-inside-payment-service-6f94c49ccd-t4k6c,ts-order-service-5b67c48447-fj8b7,25,1
ts-preserve-service-b5ccf8557-l5l4p,ts-user-service-687d654649-f8jtd,25,1
ts-cancel-service-756f6c4675-prw5z,ts-inside-payment-service-6f94c49ccd-t4k6c,26,1
ts-cancel-service-756f6c4675-prw5z,ts-user-service-687d654649-f8jtd,26,1
ts-cancel-service-756f6c4675-prw5z,ts-order-service-5b67c48447-fj8b7,26,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-cancel-service-756f6c4675-prw5z,26,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,28,4
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,28,4
ts-preserve-other-service-66646bdb5b-l8hp6,ts-user-service-687d654649-f8jtd,28,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,28,5
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,28,4
ts-travel-service-64469b5b48-5rjvb,ts-route-service-b6c59fb57-dz9bw,28,1
ts-security-service-cb9788d56-bdkcx,ts-order-other-service-6cdbf9b4cc-swvb5,28,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,28,10
ts-food-service-f5756978c-6sb8t,ts-station-food-service-dc4d75dd-k65k2,28,1
ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,28,1
ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,28,1
ts-food-service-f5756978c-6sb8t,ts-travel-service-64469b5b48-5rjvb,28,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,28,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-basic-service-5dc8d4f9fd-llznp,28,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-food-service-f5756978c-6sb8t,28,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,28,6
ts-preserve-other-service-66646bdb5b-l8hp6,ts-seat-service-5c95b49cff-mxdsg,28,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,28,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-order-other-service-6cdbf9b4cc-swvb5,28,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,28,6
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,28,2
ts-preserve-other-service-66646bdb5b-l8hp6,ts-contacts-service-866bd68c97-dzqgd,28,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-food-service-f5756978c-6sb8t,28,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,28,6
ts-gateway-service-6f6cfc45b-d9pnv,ts-preserve-other-service-66646bdb5b-l8hp6,28,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,28,4
ts-preserve-other-service-66646bdb5b-l8hp6,ts-travel2-service-5c66d57d58-zxw8n,28,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,28,1
ts-preserve-other-service-66646bdb5b-l8hp6,ts-assurance-service-69876c9868-wqgrl,28,1
ts-food-service-f5756978c-6sb8t,ts-delivery-service-7d97b69596-gfnbr,28,2
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,28,1
ts-execute-service-775f544d9-tmwcv,ts-order-other-service-6cdbf9b4cc-swvb5,29,2
ts-execute-service-775f544d9-tmwcv,ts-order-service-5b67c48447-fj8b7,29,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-execute-service-775f544d9-tmwcv,29,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,30,6
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,30,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,30,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,30,1
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,30,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,30,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,30,6
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,30,6
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,30,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,31,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,31,2
ts-basic-service-5dc8d4f9fd-llznp,ts-price-service-76846864d9-nmjz7,31,1
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,31,2
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,31,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,31,1
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel-service-64469b5b48-5rjvb,31,1
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,31,1
ts-travel-service-64469b5b48-5rjvb,ts-basic-service-5dc8d4f9fd-llznp,31,1
ts-seat-service-5c95b49cff-mxdsg,ts-config-service-5fcd447d84-9qltf,32,7
ts-gateway-service-6f6cfc45b-d9pnv,ts-travel2-service-5c66d57d58-zxw8n,32,1
ts-travel2-service-5c66d57d58-zxw8n,ts-basic-service-5dc8d4f9fd-llznp,32,1
ts-travel2-service-5c66d57d58-zxw8n,ts-seat-service-5c95b49cff-mxdsg,32,2
ts-seat-service-5c95b49cff-mxdsg,ts-order-service-5b67c48447-fj8b7,32,4
ts-basic-service-5dc8d4f9fd-llznp,ts-route-service-b6c59fb57-dz9bw,32,1
ts-basic-service-5dc8d4f9fd-llznp,ts-train-service-86f5f97bc9-tlpss,32,1
ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,32,1
ts-travel-service-64469b5b48-5rjvb,ts-seat-service-5c95b49cff-mxdsg,32,4
